,region,day,production_price_change,demand_exceedance,capacity_utilization_change
119,NY,34,0.05611262071577405,0.025435309095914294,0.01916273974869931
120,NY,35,0.05697443116551648,0.025749040521156008,0.015841789518373117
121,NY,36,0.053665422977486665,0.02338883300056227,0.01730550090672489
122,NY,37,0.05368903314288653,0.018534095403449857,0.01697506313549657
123,NY,38,0.053771431309626916,-0.007451307665674589,0.014155328588386862
124,NY,39,0.04771548996417141,0.02541390597561577,-0.011454587242361036
125,NY,40,0.027453046976108952,0.024209068395161237,0.0075339891992991515
126,NY,41,0.02867385079142526,0.0039341718516994195,0.006974955013467676
127,NY,42,0.023176575640760255,0.015141913483387892,-0.004084762979415624
128,NY,43,0.008701884563675266,0.15947737943763718,-0.004357162874727871
129,NY,44,-0.001961815819207735,0.0987078170304867,0.0054717505284129775
130,NY,45,0.005613276633492648,0.07208090506064213,0.008308789474841927
131,NY,46,0.005509055801226959,0.050779013873566425,0.007424819938109506
132,NY,47,0.0056483427764062455,0.03706085358516176,0.006955420592172024
133,NY,48,0.005750021832451102,0.023648198855473757,0.005420195494627356
134,NY,49,0.003959313416865395,0.02190904629189805,-0.001411434970381542
135,NY,50,-0.0006024057993074816,0.018989173628411127,0.00205891370020006
136,NY,51,0.0003856624567266653,0.015696786319483236,0.00353337811217469
137,NY,52,0.0025987072720479176,0.011438029227410107,0.004389926636874764
138,NY,53,0.0032570106146427857,0.007493792127005516,0.003650346327188414
139,NY,54,0.002837318042434367,0.0052955610389868735,0.0032908527011585864
140,NY,55,0.00035058595006565163,0.003628853971339163,0.004005870711760728
141,NY,56,0.0008585184073719443,0.002712489898282211,0.0028441116133168798
142,NY,57,0.0016114341250283992,0.0023150339312916213,0.002423412277344106
143,NY,58,0.0013042775480154312,0.002071717204581658,0.002053087142240617
144,NY,59,0.0016086964803385673,0.001130869932413514,0.0018361947986034188
145,NY,60,0.0011136781024136955,0.001201426280905693,0.0009210724417472171
146,NY,61,-0.002361031696676341,0.0015726711200014787,0.0008846768538612881
147,NY,62,-0.0024990639247337576,0.0015407781136780319,0.001120242491480905
148,NY,63,-0.0047672873007531535,0.001590421766949346,0.0013930237562735925
149,NY,64,-0.003411489083108954,0.0012532428036216015,0.0014341648128839424
150,NY,65,-0.0014394387517140395,0.0014682143001978343,0.0011320716734477543
151,NY,66,-0.004155099753583191,0.0004781814784591276,0.0004667589794034033
152,NY,67,-0.0065287790883619135,0.00030501594492826634,0.00042191935365321065
153,NY,68,-0.005860862478236584,0.0011657883868265717,0.00026028828278001903
154,NY,69,-0.007232051772003034,0.0011222129821948368,0.0007087537918442077
155,NY,70,-0.0018003945704160307,0.0010717534747455293,0.0011222129821946147
156,NY,71,-0.0017991967406478793,0.0009676933970106383,0.001071723756011389
157,NY,72,-0.0020514630762301644,0.0009918255618668326,0.0009676694837967847
158,NY,73,-0.0019288721377608287,0.0008406290840423658,0.000991796534265843
159,NY,74,-0.002045114832983419,0.000936302396836286,0.0008405465627203679
160,NY,75,-0.0021943194253454257,0.0006663752919433552,0.0009357374644378691
161,NY,76,-0.0021376109392212683,0.0007543081877023905,0.0006659343488677472
162,NY,77,-0.002530728400645721,0.0006181742700457349,0.0007535266541132124
163,NY,78,-0.0024438248445889377,0.0006710980825577195,0.0006173532036293228
164,NY,79,-0.0023875803985489163,0.0004772676619471117,0.0006694606494312971
165,NY,80,-0.0020796050354320306,0.0006822004486464195,0.00047668185732185897
166,NY,81,-0.0023433273372152064,0.0005460065406153181,0.0006813860171099861
167,NY,82,-0.0018796576554566125,0.0005370032847287209,0.0005457598060103486
168,NY,83,-0.002167963940737039,0.0005532639936671746,0.000536370759489202
