State,Sector,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AZ,All industry total,132290.9,143286.2,155282.6,164609.9,171480.5,179475.6,192764.8,205390.5,228232.6,248154.2,262245.3,259262.6,243764.6,248125.3,257881.1,268068.2,275007.5,284851.4,298615.0,313056.5,330146.6,350718.3,370119.1
AZ,"Agriculture, forestry, fishing and hunting",1499.4,1622.7,1547.8,1582.9,1518.2,1598.9,1615.1,2192.4,2003.9,1827.5,2136.2,1636.4,1338.4,1677.7,2414.9,1903.9,2359.5,2138.8,2346.6,2580.3,2568.9,2619.1,2839.9
AZ,"Mining, quarrying, and oil and gas extraction",1610.7,1452.4,1477.0,1514.5,1286.7,1239.7,1395.2,1927.4,3125.0,4372.5,4929.6,5359.6,4798.5,6092.8,7183.0,6433.2,5770.4,5787.9,4135.3,3664.0,5082.9,5199.9,5367.6
AZ,Utilities,3129.4,2986.0,3381.0,3444.3,3506.2,3383.5,3522.0,3833.5,3936.1,4663.6,5094.8,5276.7,5749.6,6040.6,6306.5,6201.0,6344.4,6413.3,6399.8,6720.3,6838.8,6861.5,7096.0
AZ,Construction,6768.8,8055.9,9031.9,10182.1,10926.9,11266.1,12181.1,14270.8,18287.2,21606.2,22111.9,17757.4,11863.9,9809.1,9623.7,9304.0,10392.9,10897.2,11663.6,13001.0,14835.1,16877.9,18551.9
AZ,Manufacturing,21446.3,22208.3,23905.5,22978.5,22221.2,22328.6,25641.7,21529.4,20571.5,22579.5,24548.7,23502.7,20762.0,22183.7,23274.7,24425.1,22166.0,24027.1,25791.0,26407.8,26802.4,29078.2,30969.6
AZ,Wholesale trade,8009.4,8789.9,9262.9,9982.6,10018.0,10111.7,10713.8,11827.0,12784.1,13795.5,15145.7,15229.0,14447.6,14810.5,15277.8,16630.6,16508.4,16716.5,17201.7,17887.3,18766.0,19602.9,20155.0
AZ,Retail trade,10338.9,11459.8,12105.7,13116.0,13717.1,14273.2,15321.1,16419.3,18578.1,20434.4,20752.3,19244.4,17782.8,18176.7,19592.1,20203.7,20374.3,21551.9,22067.1,22828.3,23952.0,24541.6,25566.9
AZ,Transportation and warehousing,3694.7,4093.9,4368.3,4593.3,4429.4,4676.7,5027.3,5795.5,6424.4,7174.9,7208.1,7184.2,6885.0,7483.3,7660.4,8155.5,8125.2,8840.3,9517.0,9915.7,10341.9,11227.2,11984.8
AZ,Information,4127.6,4749.4,5148.1,5178.0,5592.6,6458.0,6376.6,6648.8,6671.6,6979.6,7268.7,7626.7,7422.7,7415.0,7275.5,7253.7,8249.2,9143.4,9888.5,10720.8,11853.0,12247.3,13084.2
AZ,Finance and insurance,8435.5,9800.3,10904.5,11545.4,12940.0,13280.9,14958.5,16176.0,17888.8,14602.8,14750.5,12865.7,12598.1,13727.2,15356.1,18196.2,18759.5,19094.8,21261.1,22679.4,22573.5,25390.8,26729.5
AZ,Real estate and rental and leasing,16830.6,17942.0,20210.3,21943.0,23759.9,25579.6,26045.7,27964.7,33595.2,37644.2,39387.4,40063.0,38559.0,36881.7,36840.9,38463.6,41194.3,42819.2,45868.7,48951.7,51274.7,55099.9,58498.3
